"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","","","","","","","2","5","5","travellerseattle","277882","277882:54","4","5","5","3","5","p","May 15, 2007","5","LOVED THE HAMPTON INN SEAPORT!!!!!!!!!!!!!!!!!!"
"","","","","","","","","","x","","","","","","","","","","","","","","","Just returned from a 3 night stay."
"","","","","","","","","","","","","","","","","","","","","","p","","","This is a FABULOUS hotel."
"","","","","","","","","p","","","","","","","","","","","","","","","","The front desk staff, the doormen, the breakfast staff, EVERYONE is incredibly friendly and helpful and warm and welcoming."
"","","","","","","","p","","","","","","","","","","","","","","","","","The room was fabulous too."
"","","","","","","p","p","","","","","","","","","","","","","","","","","Really comfy beds, great decorating, and super super clean."
"","","","","","p","","","","","","","","","","","","","","","","","","","The breakfasts are great - fresh fruit, bagels, muffins, hot eggs and sausage, etc."
"","","","","","p","","","","","","","","","","","","","","","","","","","Good coffee."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Just around the corner from the hotel is a FABULOUS little Italian restaurant - Bon Amici."
"","","","","","","","","","","","","","","","","","","","","","p","","","Highly recommend it."
"","","","","","","","","","","","","","","","","","","","","","p","","","I will stay at this hotel everytime I come to New York."
"","","","","","","","","","","","","","","","","","","","","","p","","","Can't say enough great things about it!!!!!"
"","","","","","","","","","","2","4","4","culturevulture2","590144","590144:48","5","4","4","-1","4","p","Dec 22, 2007","3","We Will Stay Here Again"
"","","","","","","","","","x","","","","","","","","","","","","","","","This is the second time that we are staying at Lanson Place, Hong Kong."
"","","","","p","","","","","","","","","","","","","","","","","","","","We loved its location in Causeway Bay-a stone's throw from the Causeway Bay MTR, great food outlets at Jardine's Bazaar, good shopping at Times Square."
"","","","","","","","p","","","","","","","","","","","","","","","","","The room is big for HK standards and there is a small kitchenette if you need to heat up food in the microwave or cook a meal."
"","","","","","","","x","","","","","","","","","","","","","","","","","This time, our room was in an L-shaped configuration."
"","","","","","","","x","","","","","","","","","","","","","","","","","The bedroom was a little tight but the living and study space was slightly bigger."
"","","","","","","","x","","","","","","","","","","","","","","","","","The furnishings and fittings are still in good condition."
"","","","n","","","","","","","","","","","","","","","","","","","","","When we checked in for our stay, we were a little annoyed that we had to wait for our room to be ready even though it was 21/2 hours past the check-in time."
"","","","","","","n","","","","","","","","","","","","","","","","","","I was a little taken aback too when one of the bath towels that I wanted to use had 5 holes on it."
"","p","","","","","","","","","","","","","","","","","","","","","","","Nevertheless, the housekeeping team was prompt with providing us with good quality towels when we requested for it.We will stay here again when we next visit HK."
"","p","","","","","","","","","0","3","3","coachhouse","87076","87076:21","-1","3","3","-1","4","","May 26, 2006","-1","Good Value Hotel"
